acronym,total_counts
"היו""ר",83.0
"ל""חוק",20.0
"במזקו""ם",7.0
"תר""מ",9.0
"ב""דבר",52.0
"מ""י",64.0
"ס""ט",15.0
"לצל""ש",26.0
"בי""ד",30.0
"האדמו""רות",8.0
"התמ""ג",144.0
"המהר""ם",51.0
"מהר""י",16.0
"זצוק""ל",12.0
"ה""רגילים",9.0
"ה""חברה",11.0
"כ""ך",23.0
"ה""לא",19.0
"לדו""ח",28.0
"ה""קלאסית",16.0
"ואח""י",26.0
"ב""קפה",6.0
"באח""י",6.0
"תוה""ד",6.0
"ל""מבצע",15.0
"מפיפ""א",11.0
"ביה""ד",18.0
"התנ""ך",1144.0
"לקב""ה",15.0
"שהקב""ה",11.0
"ה""קיבוץ",6.0
"למ""ר",15.0
"ה""ג",32.0
"ב""טור",12.0
"החי""ל",14.0
"ב""קבוצת",8.0
"ממ""ג",8.0
"מהרמטכ""ל",18.0
"יו""ר",981.0
"להט""בים",34.0
"ללהט""בים",6.0
"ל""קו",9.0
"גדחה""ן",7.0
"תרס""ה",38.0
"תש""ה",81.0
"תרנ""ח",17.0
"להרמב""ם",28.0
"חב""דית",6.0
"תרנ""ט",24.0
"ואל""ם",13.0
"מנכ""לים",19.0
"וסא""ל",10.0
"כ""אנשים",7.0
"תרס""א",16.0
"שב""חים",8.0
"ב""ש",15.0
"ו""רק",7.0
"תשי""ב",102.0
"צל""שים",30.0
"תרנ""ז",25.0
"לראב""ד",10.0
"רמב""ן",105.0
"תשנ""ו",147.0
"מהנ""ל",11.0
"הרי""ם",34.0
"שג""ר",58.0
"נ""ז",13.0
"ומכ""ם",8.0
"ל""ברית",14.0
"בכ""ה",34.0
"שארה""ב",10.0
"תשע""ט",137.0
"למו""ל",21.0
"כר""מים",10.0
"הבד""ץ",10.0
"מ""ב",21.0
"נ""ג",15.0
"מת""ב",8.0
"והיו""ר",12.0
"תש""פ",50.0
"כמנכ""לית",9.0
"תשס""ד",215.0
"תשס""ה",216.0
"ו""מוות",9.0
"ב""יתד",7.0
"צמ""ד",9.0
"ל""על",8.0
"תשע""ד",188.0
"פק""פ",12.0
"בתל""ג",15.0
"והתל""ג",6.0
"בצל""ש",47.0
"קל""ד",8.0
"תרל""ג",13.0
"ב""העולם",19.0
"ב""הפועל",9.0
"מ""ידיעות",9.0
"מק""ג",12.0
"כמ""פ",7.0
"פו""ש",6.0
"בח""א",6.0
"קמ""א",10.0
"כ""רב",6.0
"קב""א",10.0
"דפ""ר",6.0
"בפס""ד",16.0
"ב""צוותא",6.0
"רו""ח",9.0
"תשפ""ח",8.0
"ב""מועצה",7.0
"ט""ו",310.0
"ב""מבצע",31.0
"נח""ל",305.0
"ב""ארמון",9.0
"לרק""ם",10.0
"מה""ט",6.0
"ומחו""ל",18.0
"פיד""ה",47.0
"המ""פ",29.0
"הבה""דים",17.0
"במתנ""ס",12.0
"נוע""ם",6.0
"מש""צים",7.0
"סמ""ר",34.0
"אס""א",17.0
"חיד""א",10.0
"ו""מדינת",7.0
"רב""ט",31.0
"מתנ""סים",22.0
"אמי""ת",33.0
"הסת""ם",10.0
"ב""אל",13.0
"מב""ת",7.0
"ו""ידיעות",10.0
"לתנ""ך",133.0
"השפד""ן",14.0
"ו""גן",10.0
"ל""רמת",6.0
"במצ""ח",7.0
"ל""ח",16.0
"וקק""ל",12.0
"ל""בני",6.0
"התשי""א",9.0
"ולצה""ל",12.0
"ל""מועדון",10.0
"ב""מצעד",10.0
"במפ""ם",20.0
"כ""עיר",34.0
"ב""צד",7.0
"ב""מערכת",7.0
"מנתב""ג",7.0
"ות""ת",7.0
"ז""ל",120.0
"ש""ח",620.0
"החב""דית",12.0
"הנדל""ן",81.0
"תקנ""ז",6.0
"מהאדמו""רים",6.0
"המהרי""ל",21.0
"למפא""י",44.0
"מחב""ד",14.0
"לחב""ד",8.0
"חב""די",7.0
"מאדמו""רי",13.0
"במפא""י",47.0
"ח""כים",55.0
"למפ""ם",18.0
"ורע""מ",7.0
"ומפ""ם",34.0
"מיכ""ל",9.0
"וסמנכ""ל",7.0
"ומו""ל",19.0
"הנאסד""ק",11.0
"ו""תורת",6.0
"ב""מסע",11.0
"הו""ד",9.0
"בנאט""ו",113.0
"ו""בת",11.0
"ב""קול",58.0
"זק""ש",49.0
"סאל""ט",17.0
"ממפ""ם",22.0
"עב""ם",12.0
"ב""בצלאל",20.0
"צה""ל",6580.0
"אנזא""ק",105.0
"השב""ס",18.0
"מופ""ת",26.0
"ת""א",186.0
"ללהט""ב",15.0
"ו""אי",8.0
"התשס""א",9.0
"ב""ציפורי",6.0
"הבינ""ל",26.0
"ב""ברית",17.0
"ל""מלך",15.0
"כ""אזור",8.0
"ממע""מ",8.0
"אקו""ם",142.0
"להב""ה",12.0
"מג""ב",421.0
"שמפא""י",7.0
"ב""פרשה",10.0
"המע""מ",53.0
"לע""ם",7.0
"חה""כ",14.0
"ומ""מ",6.0
"בנא""י",9.0
"הלהט""בית",16.0
"תשע""ו",147.0
"התשע""ז",7.0
"תשע""ח",163.0
"ב""רשימת",12.0
"דנ""א",49.0
"ה""באז",18.0
"מגח""ל",7.0
"ורפ""י",16.0
"צד""ל",157.0
"לנצי""ב",7.0
"ת""ט",27.0
"מחו""ל",130.0
"יל""ג",62.0
"תרע""ז",28.0
"פ""ח",8.0
"פ""א",30.0
"בג""ד",23.0
"ב""קבוצה",6.0
"ב""אוצר",8.0
"ת""ת",13.0
"חח""ע",28.0
"שרש""י",11.0
"תתנ""ו",25.0
"שו""ם",7.0
"לרמב""ן",19.0
"המהרש""ל",18.0
"יו""ט",14.0
"נו""ן",14.0
"יס""מ",14.0
"י""ח",183.0
"ל""בן",8.0
"ל""ניו",10.0
"ח""י",29.0
"ורד""ק",6.0
"ה""כופרים",6.0
"כ""ץ",325.0
"תל""ם",26.0
"תנ""כית",19.0
"למ""ס",14.0
"מלמ""ק",29.0
"פ""ו",6.0
"ב""חברה",11.0
"יפת""ח",7.0
"מו""לים",17.0
"ל""שחרור",6.0
"מלבי""ם",25.0
"מל""ב",15.0
"תרפ""ה",57.0
"כ""חבר",6.0
"פאג""י",9.0
"הע""ל",11.0
"ט""ז",150.0
"כ""ארגון",8.0
"בינ""ה",12.0
"השב""כ",544.0
"תשנ""ה",148.0
"התשע""ט",11.0
"ואדמו""רים",11.0
"ו""לילה",7.0
"בי""ט",30.0
"ב""פרס",33.0
"האדמו""ר",585.0
"אל""ה",6.0
"והמו""ל",7.0
"ו""עוד",9.0
"ש""ז",16.0
"אונסקו""פ",37.0
"ו""לא",48.0
"אטי""ב",16.0
"ל""גבעת",6.0
"בט""ז",24.0
"ה""באונטי",7.0
"ה""פנדורה",6.0
"ק""ד",10.0
"תש""ע",207.0
"במד""א",10.0
"אומ""ץ",12.0
"תשס""ג",188.0
"לנאס""א",32.0
"מנאס""א",11.0
"אחמ""ש",9.0
"תשנ""ז",175.0
"בדוא""ל",14.0
"לאש""ף",44.0
"ובי""ס",6.0
"צה""ליים",15.0
"ב""סגנון",7.0
"אש""ף",676.0
"רמבי""ש",10.0
"המע""ר",14.0
"הסמג""ד",11.0
"נ""ח",13.0
"החז""לי",7.0
"נח""ת",12.0
"הפלנ""ט",14.0
"כטמ""ם",6.0
"המל""טים",29.0
"בשפד""ן",7.0
"כ""נסיך",6.0
"הנח""ל",508.0
"ה""פוסט",6.0
"מהמטכ""ל",7.0
"רע""מ",43.0
"וחד""ש",15.0
"תרל""ד",12.0
"מח""ט",58.0
"מפא""ת",10.0
"מזל""ט",16.0
"ה""נשר",8.0
"יוניפי""ל",107.0
"ה""פוטש",6.0
"ל""מעריב",15.0
"ל""ידיעות",15.0
"ו""מעריב",9.0
"ב""מעריב",71.0
"ה""דיילי",11.0
"פז""ם",26.0
"המנכ""לית",7.0
"תר""ל",18.0
"לתמ""ג",24.0
"ל""מדינת",6.0
"נל""ר",8.0
"כ""ה",123.0
"בדו""חות",24.0
"תרל""ו",9.0
"ה""ארמייה",8.0
"והרי""ף",8.0
"ואדמו""ר",6.0
"ה""אמרי",16.0
"אדמו""רי",72.0
"רי""ז",6.0
"הנ""ך",6.0
"ב""עולם",18.0
"הגאב""ד",7.0
"אדמו""רים",49.0
"רידב""ז",7.0
"ע""ע",37.0
"ואח""כ",8.0
"מג""ל",10.0
"שמ""ט",7.0
"ל""יום",14.0
"תרי""ז",6.0
"רי""ב",40.0
"המו""מ",12.0
"רי""ף",6.0
"תרס""ג",34.0
"באדמו""רות",25.0
"תרמ""א",19.0
"בה""ג",12.0
"ו""ילדי",7.0
"הי""ד",26.0
"התשנ""ח",13.0
"מצ""ד",11.0
"כראב""ד",6.0
"ל""ארגון",6.0
"למנכ""לית",6.0
"תרמ""ה",17.0
"ב""עקרונות",6.0
"תרס""ד",39.0
"ברמ""א",7.0
"בשו""ע",6.0
"תרע""ט",29.0
"ב""כל",10.0
"ל""היכל",15.0
"כ""ילד",7.0
"ל""כוכב",7.0
"ל""שירות",8.0
"תרפ""ד",87.0
"בתשע""ח",9.0
"ב""חוק",23.0
"תרצ""ט",125.0
"ו""דבר",11.0
"תקצ""ט",10.0
"תרי""ח",12.0
"ה""קלאסיים",6.0
"מפכ""ל",54.0
"הריי""צ",18.0
"רמב""י",6.0
"א""מ",7.0
"אדמור""י",12.0
"המהרש""א",18.0
"המהרי""ט",7.0
"פ""ד",44.0
"ארה""ב",212.0
"ב""נאום",11.0
"אאל""ט",13.0
"בי""ב",32.0
"ובפלמ""ח",7.0
"ו""צבא",6.0
"לאדמו""רים",9.0
"ל""צבא",24.0
"ל""ראש",9.0
"ל""תנועת",7.0
"ל""בנק",7.0
"ה""צעירים",8.0
"ל""ועדת",6.0
"כ""אחד",12.0
"תרפ""ו",48.0
"ה""קופה",8.0
"ב""קופה",6.0
"תש""ד",84.0
"המפכ""ל",43.0
"אז""ר",52.0
"תשט""ו",112.0
"תרל""ט",16.0
"הש""ס",127.0
"התשכ""א",6.0
"תשכ""ג",78.0
"לגדנ""ע",13.0
"והצל""שים",6.0
"תשל""ב",134.0
"כ""נס",7.0
"תשמ""ו",133.0
"ב""ראו",7.0
"תשנ""ד",156.0
"ל""פורום",6.0
"בסל""ד",9.0
"תרט""ו",15.0
"במט""ח",24.0
"מד""ר",6.0
"שו""ת",266.0
"ו""ישראל",6.0
"ח""כ",204.0
"סת""ם",61.0
"כאדמו""ר",75.0
"ב""ערוץ",19.0
"התש""ן",6.0
"תשע""ז",140.0
"התשס""ו",15.0
"ב""ב",7.0
"אבד""ק",8.0
"לאדמו""ר",63.0
"שליט""א",16.0
"ב""תיכון",6.0
"ב""מרוץ",6.0
"ב""שומר",11.0
"נדל""נית",6.0
"בד""ץ",38.0
"ל""עולם",12.0
"מ""ו",22.0
"אדמו""ר",150.0
"בקק""ל",7.0
"כ""גרעין",6.0
"וכיו""ב",19.0
"אח""כ",21.0
"כ""יום",41.0
"ו""העולם",6.0
"לחו""ל",103.0
"וכיוצ""ב",12.0
"תרצ""ח",80.0
"ל""ערכים",8.0
"לע""מ",22.0
"התשפ""א",7.0
"לר""מ",10.0
"כר""מ",56.0
"ע""ז",10.0
"לפסה""נ",42.0
"תשפ""א",143.0
"אמר""ל",9.0
"כ""אות",6.0
"ק""ק",6.0
"ו""חוק",8.0
"מ""ם",16.0
"מכת""ז",12.0
"ר""מ",147.0
"זי""ן",11.0
"תשע""ב",208.0
"תה""ל",8.0
"לסא""ל",7.0
"של""י",22.0
"מהו""ת",15.0
"לארה""ב",14.0
"ור""מ",19.0
"שי""ר",15.0
"לחז""ל",10.0
"א""נ",8.0
"תשל""א",107.0
"רוס""ר",6.0
"ל""מקדש",7.0
"זצ""ל",108.0
"ב""אזור",14.0
"לאונסק""ו",16.0
"תשמ""ה",137.0
"לאונר""א",23.0
"הרצי""ה",118.0
"וסמ""ר",6.0
"בפת""ח",24.0
"תנ""ך",348.0
"מזכ""לי",8.0
"תשס""ב",199.0
"כ""מלך",32.0
"התש""ע",13.0
"התשפ""ב",10.0
"ל""הפועל",9.0
"תשס""ט",201.0
"מנכ""לי",16.0
"ל""דבר",6.0
"ו""הבית",6.0
"לש""ב",8.0
"כמנכ""ל",121.0
"הרדב""ז",25.0
"ב""מרחב",11.0
"הש""ב",8.0
"ל""מדינות",7.0
"ופת""ח",22.0
"ב""מגזין",7.0
"רק""ח",40.0
"במק""י",10.0
"עו""ד",212.0
"ב""ליל",13.0
"בג""ץ",543.0
"הראי""ה",238.0
"רנ""א",24.0
"הרנ""א",7.0
"והתנ""ך",19.0
"ע""פ",163.0
"ראי""ה",6.0
"חל""ך",7.0
"תשפ""ב",129.0
"חי""ש",23.0
"והרמב""ם",45.0
"וגח""ל",18.0
"שחז""ל",29.0
"ל""משרד",6.0
"אד""ל",7.0
"תמ""י",16.0
"בחמ""ל",6.0
"ו""אין",14.0
"ו""עולם",8.0
"זב""מ",28.0
"ב""רשת",12.0
"אבי""ע",6.0
"התשמ""ב",7.0
"התשמ""א",20.0
"ל""קול",10.0
"ה""קול",7.0
"התשמ""ג",6.0
"התשל""ז",10.0
"פא""ן",6.0
"ב""מכון",13.0
"פ""נ",6.0
"והרמב""ן",11.0
"י""מ",7.0
"מה""ד",9.0
"אה""מ",127.0
"כ""חוק",10.0
"נ""ך",6.0
"ברי""ל",8.0
"תרכ""ג",8.0
"תק""ע",12.0
"ובסה""כ",18.0
"ו""מר",6.0
"ואה""מ",12.0
"פ""ת",13.0
"ה""קומדי",6.0
"בא""י",101.0
"ל""עם",6.0
"ו""קשת",8.0
"ב""סלון",9.0
"חי""ת",9.0
"תרכ""ד",11.0
"ע""י",299.0
"ו""שני",9.0
"בארה""ב",59.0
"ה""גזע",6.0
"ה""אול",6.0
"לספה""נ",10.0
"ימק""א",31.0
"אצ""ג",26.0
"תרפ""ב",73.0
"בחי""ש",7.0
"ב""ועד",7.0
"תר""צ",9.0
"תשכ""ח",125.0
"תשל""ג",150.0
"תשי""ג",83.0
"תשכ""ט",123.0
"ל""אל",16.0
"תשס""ו",206.0
"בצד""ל",12.0
"ר""ת",46.0
"תשל""ז",140.0
"ב""לקסיקון",6.0
"ב""שידורי",6.0
"תרפ""ג",77.0
"ה""אזור",7.0
"תשכ""ז",123.0
"תקמ""ו",8.0
"אד""ם",16.0
"תשכ""ב",78.0
"תרי""ט",12.0
"ל""מחנה",13.0
"תרצ""א",46.0
"כ""דת",7.0
"תשי""ז",91.0
"השו""ע",14.0
"הרי""ל",6.0
"הרי""מ",11.0
"תש""ו",96.0
"תרל""ח",13.0
"שמ""א",9.0
"ה""הופכי",7.0
"ל""ה",23.0
"כ""ו",116.0
"תרכ""א",8.0
"ב""משחק",13.0
"כק""מ",15.0
"כ""ב",130.0
"ר""צ",10.0
"כ""ח",123.0
"תרי""ג",75.0
"כ""מלחמת",10.0
"לרמב""ם",150.0
"ו""על",21.0
"שהרמב""ן",6.0
"ו""אהבה",6.0
"מכ""מי",16.0
"הרשב""א",81.0
"וצד""ל",21.0
"ה""אחים",6.0
"ש""ל",6.0
"כ""איש",19.0
"כ""פעולה",6.0
"באופ""ק",19.0
"שט""ו",8.0
"ת""ח",45.0
"רפ""ג",6.0
"תקמ""ח",9.0
"כאדמו""רים",8.0
"תרל""ב",15.0
"הרא""ה",70.0
"תפ""ז",6.0
"ב""איש",7.0
"ו""איש",14.0
"ה""טוב",14.0
"באב""ד",10.0
"תרכ""ט",16.0
"הרוא""ה",10.0
"עכו""ם",15.0
"תש""נ",10.0
"רמב""ם",106.0
"של""ה",12.0
"תשכ""ד",107.0
"כ""ד",116.0
"מש""ה",14.0
"הר""י",11.0
"מו""ר",8.0
"כ""ז",109.0
"ו""פרס",9.0
"ניל""י",172.0
"ו""אנשי",6.0
"אצ""י",19.0
"תשמ""ד",134.0
"תק""ס",6.0
"קמ""ן",6.0
"ורמב""ן",10.0
"תרצ""ז",109.0
"מע""ר",14.0
"לשב""כ",30.0
"תשנ""ב",167.0
"כ""שטח",12.0
"תי""ו",6.0
"בד""כ",77.0
"המלכ""ר",8.0
"שש""ז",279.0
"ל""ליגה",6.0
"כ""מנהיג",6.0
"ה""על",9.0
"דה""ב",13.0
"דבה""י",6.0
"שה""ם",7.0
"וט""ו",6.0
"תק""ד",8.0
"בשב""כ",84.0
"מציל""ה",12.0
"ממר""י",8.0
"המשת""פים",6.0
"ו""כיבוש",6.0
"ל""תור",7.0
"צ""ל",11.0
"אה""ו",13.0
"מו""מ",10.0
"ו""האיש",10.0
"ו""קול",8.0
"התשע""ח",7.0
"הרלב""ג",38.0
"מהשב""כ",11.0
"התשב""ץ",9.0
"ס""א",8.0
"ס""ד",10.0
"אל""ף",53.0
"כ""מרכז",11.0
"ח""ץ",6.0
"הפת""ח",189.0
"גד""ש",6.0
"פצמ""ר",9.0
"שהתנ""ך",8.0
"התש""ט",11.0
"ב""רשומות",22.0
"מהתל""ג",38.0
"מא""י",12.0
"ה""אין",8.0
"פו""ם",6.0
"חש""ן",11.0
"ב""יד",11.0
"ליו""ר",272.0
"נל""נ",6.0
"ב""עמק",6.0
"וע""י",13.0
"פלי""ם",9.0
"ב""כפר",7.0
"ה""רולינג",6.0
"ה""נאו",7.0
"ב""בית",85.0
"ב""איחוד",6.0
"שח""ם",10.0
"מזא""ה",32.0
"הס""ס",16.0
"ונאט""ו",33.0
"ו""מלחמת",8.0
"ה""אני",41.0
"ב""כוח",34.0
"התמ""ת",15.0
"קק""ל",162.0
"תשמ""ב",136.0
"תש""ט",104.0
"ובד""כ",6.0
"בחו""ל",349.0
"נמ""ר",51.0
"אא""ג",6.0
"ריק""ם",19.0
"הגדנ""ע",112.0
"ש""מ",15.0
"מאונסק""ו",8.0
"ב""אנציקלופדיה",11.0
"כ""אבי",19.0
"ת""ע",6.0
"י""ט",138.0
"תקל""ג",7.0
"ללח""י",18.0
"הבעש""ט",114.0
"בנתב""ג",17.0
"הפו""ש",11.0
"שהפלמ""ח",6.0
"תקל""ב",8.0
"המתנ""סים",14.0
"ק""ב",11.0
"אק""ג",11.0
"כטב""מ",17.0
"התל""ג",41.0
"לבעש""ט",7.0
"ה""בלתי",9.0
"תקס""ד",6.0
"תר""ם",10.0
"תרע""א",43.0
"ובחז""ל",11.0
"הריב""ש",14.0
"בהל""ץ",8.0
"מאמ""ת",9.0
"לק""מ",8.0
"האר""י",272.0
"תשע""ה",161.0
"ס""ז",8.0
"סה""כ",158.0
"בעש""ט",7.0
"כ""משפט",7.0
"ר""ן",6.0
"ה""קלאסי",9.0
"תר""ץ",46.0
"כ""מדע",6.0
"קה""ת",71.0
"כ""ספר",7.0
"ו""צ",7.0
"ל""מפלגת",10.0
"ל""הרפובליקה",7.0
"ה""חיפושית",7.0
"בנדל""ן",21.0
"כ""להקת",6.0
"הלח""י",153.0
"כטב""מים",82.0
"כטב""ם",14.0
"ב""ממשלת",9.0
"תשמ""ח",163.0
"מט""ח",310.0
"חו""מ",6.0
"ל""צ",8.0
"ל""מלחמת",18.0
"פ""ג",12.0
"ל""כל",10.0
"צ""ד",7.0
"ז""א",19.0
"נ""ב",15.0
"המבי""ט",15.0
"תשמ""ג",188.0
"אי""ש",10.0
"מהרי""ל",10.0
"בהר""ן",10.0
"כ""רפובליקה",6.0
"ש""ס",341.0
"התשמ""ו",6.0
"הש""ג",6.0
"ת""ק",11.0
"שח""ל",9.0
"שד""ל",37.0
"תשכ""ה",110.0
"אג""מ",9.0
"הש""ך",23.0
"ב""צוק",16.0
"סמח""ט",12.0
"ועפ""י",7.0
"תשצ""ח",7.0
"מת""א",7.0
"מחז""ל",9.0
"ושו""ת",11.0
"תק""ג",6.0
"קמ""ג",12.0
"הקב""ה",131.0
"נתב""ג",21.0
"כ""מורה",7.0
"תרע""ג",44.0
"תשי""ח",95.0
"ביו""ד",25.0
"היו""ד",17.0
"תשל""ד",125.0
"ב""הצופה",8.0
"ה""מורה",8.0
"ה""חכם",9.0
"אג""ם",81.0
"ו""היה",7.0
"האג""ם",8.0
"קמב""ץ",11.0
"לצד""ל",14.0
"סמג""ד",9.0
"יק""ל",10.0
"צמ""פ",7.0
"ל""שלום",11.0
"החרמ""ש",9.0
"חרמ""ש",42.0
"ב""הנסיך",6.0
"זחל""מים",27.0
"ו""שלום",8.0
"סמ""פ",7.0
"תול""רים",6.0
"ל""ניר",6.0
"חה""ן",40.0
"תת""ל",10.0
"תש""כ",10.0
"והחי""ר",9.0
"ביהמ""ש",20.0
"רע""ב",8.0
"מהרש""א",10.0
"לחי""ר",26.0
"הנ""ט",75.0
"מ""פ",24.0
"חפ""ק",11.0
"המח""ט",43.0
"הסמח""ט",7.0
"רז""ה",10.0
"הב""ח",12.0
"ב""ח",8.0
"מהרש""ל",12.0
"המטכ""ל",100.0
"לרס""ג",7.0
"תקפ""ט",12.0
"ע""ד",12.0
"כ""תוכנית",6.0
"המאמ""ת",11.0
"מהדו""ח",9.0
"ואצ""ל",9.0
"ב""מלחמה",12.0
"שיו""ר",8.0
"שו""תים",9.0
"אב""א",44.0
"הי""ג",7.0
"תש""ס",190.0
"הט""ז",14.0
"פלס""ר",48.0
"מו""ד",8.0
"מהתמ""ג",128.0
"תרי""ד",10.0
"ש""ישראל",8.0
"תרצ""ו",163.0
"ו""ספר",17.0
"כ""אתר",8.0
"בגדנ""ע",12.0
"תשע""א",237.0
"ראב""ע",34.0
"ל""אני",7.0
"ב""אני",12.0
"בע""פ",6.0
"תקפ""ד",7.0
"הפק""פ",13.0
"ת""י",26.0
"פוע""ה",6.0
"תשי""א",91.0
"תשכ""א",79.0
"מהתנ""ך",99.0
"תקנ""ט",8.0
"ל""כיכר",12.0
"ותנ""ך",13.0
"ו""אדם",8.0
"הקג""ב",7.0
"מ""ארבע",7.0
"ו""הסנדק",6.0
"למהר""ל",11.0
"השל""ה",51.0
"לפנה""ס",7908.0
"הא""ב",22.0
"ל""נשיא",9.0
"א""ב",39.0
"ב""זהו",6.0
"החז""לית",14.0
"ו""צעירי",6.0
"ב""רחוב",9.0
"ב""פארק",7.0
"ב""שלום",7.0
"ב""פסיק",6.0
"כ""מלכת",11.0
"ממ""ד",24.0
"ונאס""א",8.0
"סופ""ש",6.0
"המנכ""ל",84.0
"בט""ו",96.0
"תש""ל",125.0
"כ""טרור",6.0
"שב""כ",80.0
"הי""א",16.0
"ב""כיכר",8.0
"בגל""צ",11.0
"ל""חדשות",14.0
"כ""מוזיקה",8.0
"ב""חדשות",17.0
"אד""ו",10.0
"בפלמ""ח",94.0
"ו""הארץ",12.0
"ומעהב""ט",11.0
"מחמל""י",12.0
"ה""סופר",6.0
"רנ""ק",7.0
"הלהט""ב",103.0
"ה""היסטוריות",6.0
"כח""כ",12.0
"מהפת""ח",9.0
"ומפכ""ל",6.0
"לתל""ג",8.0
"ויו""ר",173.0
"להט""ב",138.0
"סג""ל",30.0
"הפלמ""ח",716.0
"צסק""א",66.0
"צ""ס",7.0
"לצסק""א",7.0
"כ""כלי",6.0
"תרנ""ג",23.0
"הרש""ב",21.0
"כ""מחוז",6.0
"ל""פרויקט",9.0
"ש""אם",15.0
"ת""ס",21.0
"מהפלמ""ח",6.0
"תרע""ו",23.0
"מב""ע",8.0
"שהתמ""ג",6.0
"ה""יסודות",9.0
"ב""יסודות",6.0
"ס""ס",10.0
"ב""מיין",8.0
"ב""מנספילד",6.0
"התשי""ט",8.0
"המ""מ",25.0
"הקב""א",12.0
"בי""א",39.0
"רא""ל",42.0
"הרשב""ץ",19.0
"סג""ם",26.0
"רס""ל",20.0
"ב""קרן",6.0
"ה""ש",7.0
"המ""מים",7.0
"ה""אחר",7.0
"בית""ר",715.0
"תש""י",132.0
"רס""ר",28.0
"למג""ד",6.0
"הצה""ליים",7.0
"מ""כים",68.0
"מ""המוסד",6.0
"סטי""לים",9.0
"באו""ם",308.0
"או""ם",67.0
"אש""פ",50.0
"סטי""ל",11.0
"הפלס""ר",35.0
"בחפ""ק",10.0
"הצל""ש",21.0
"מו""ל",98.0
"ל""כיבוש",6.0
"חמו""ל",48.0
"תשי""ד",99.0
"ו""משמר",6.0
"וחז""ל",21.0
"בה""א",8.0
"ל""פתרון",8.0
"ל""ט",44.0
"והרא""ש",21.0
"כ""מקום",11.0
"כ""פגיע",6.0
"תש""ך",90.0
"שס""ה",8.0
"ל""חינוך",6.0
"תשנ""ט",175.0
"בסד""כ",9.0
"פקמ""ז",22.0
"פקע""ר",32.0
"תש""א",56.0
"האצ""ל",786.0
"מק""כ",7.0
"מקל""ר",6.0
"תרפ""ט",258.0
"באצ""ל",45.0
"אצ""ל",264.0
"והאצ""ל",26.0
"ות""א",9.0
"ו""הפועל",9.0
"ק""ג",1092.0
"ע""מ",14.0
"ה""אילת",8.0
"הרס""ר",6.0
"ל""בית",63.0
"וצל""שים",10.0
"ס""פ",10.0
"ביהל""ם",8.0
"הקהנ""ר",6.0
"הפומ""ה",28.0
"המח""ץ",10.0
"המחס""ר",7.0
"רק""ם",55.0
"בבהל""ץ",7.0
"המ""כים",9.0
"תרמ""ד",24.0
"ליהל""ם",7.0
"המטכ""לי",9.0
"הנצי""ב",95.0
"רס""ם",6.0
"תרנ""ד",16.0
"הטנ""א",7.0
"גדס""ר",22.0
"הרידב""ז",13.0
"קמ""ט",7.0
"כמ""מ",9.0
"ה""חפץ",13.0
"להט""בי",6.0
"ראב""ד",26.0
"יו""ל",7.0
"שלצה""ל",6.0
"כ""בלתי",13.0
"רי""ש",19.0
"במ""ש",6.0
"הרי""ש",8.0
"כמזכ""ל",47.0
"בי""ת",19.0
"ו""הכל",7.0
"כ""ף",16.0
"פ""ה",8.0
"ת""ו",12.0
"גימ""ל",11.0
"דל""ת",11.0
"טי""ת",11.0
"צד""י",11.0
"התשס""ג",7.0
"נאט""ו",603.0
"התשכ""ה",10.0
"כ""ארץ",12.0
"קו""ף",6.0
"והנח""ל",7.0
"כ""שר",8.0
"ו""ו",13.0
"הרש""ר",29.0
"שי""ן",20.0
"סמ""ך",11.0
"ונגמ""ש",7.0
"מזכ""ל",277.0
"עי""ן",10.0
"ל""שינוי",6.0
"הח""כים",23.0
"כפ""ת",23.0
"כד""ר",8.0
"וי""ו",18.0
"האל""ף",6.0
"למפד""ל",16.0
"מפת""ח",7.0
"שבתנ""ך",18.0
"בחד""ש",7.0
"ממק""י",9.0
"יו""ד",70.0
"ב""מגרש",10.0
"תר""ג",9.0
"הגרי""ד",16.0
"אט""ן",12.0
"ב""מלחמת",30.0
"ו""באטמן",6.0
"למפכ""ל",10.0
"שבע""פ",7.0
"ע""ר",12.0
"החת""ס",8.0
"הנ""ד",14.0
"תרמ""ט",36.0
"נדל""ן",125.0
"נאס""א",539.0
"לחל""ת",8.0
"ב""עיר",10.0
"המהר""ל",213.0
"ק""ט",12.0
"ל""בתי",7.0
"מו""פ",18.0
"ה""סטאר",8.0
"ב""מחנה",11.0
