acronym,total_counts
"ל""אם",7.0
"הק""מ",12.0
"הגר""ח",9.0
"תש""ף",68.0
"תשפ""ד",24.0
"יו""דים",12.0
"ל""שר",8.0
"שמ""ר",8.0
"בי""ח",27.0
"כ""ראשון",7.0
"התשס""ח",25.0
"קי""ט",7.0
"ה""אמת",7.0
"מ""ח",29.0
"במע""מ",6.0
"ומע""מ",8.0
"ב""דרך",13.0
"ח""ב",13.0
"לרמטכ""ל",141.0
"ועו""ד",12.0
"פס""ד",14.0
"א""ע",11.0
"תרי""א",7.0
"הנח""לאים",14.0
"כשצה""ל",6.0
"אב""ד",76.0
"החת""ם",48.0
"והרמטכ""ל",67.0
"הרש""ש",23.0
"ת""פ",16.0
"תקל""ז",6.0
"יו""ש",27.0
"ש""י",192.0
"רשו""ת",8.0
"ני""ע",7.0
"האק""ג",8.0
"רוה""מ",7.0
"חל""צ",6.0
"ביו""ש",27.0
"ונח""ל",11.0
"המזכ""ל",48.0
"בבג""ץ",83.0
"הבט""ש",19.0
"ביש""ע",30.0
"רא""ם",41.0
"המל""ג",16.0
"מל""ג",6.0
"פא""י",30.0
"דו""חות",92.0
"הרש""פ",37.0
"הבית""רי",20.0
"הלמ""ס",112.0
"בת""א",45.0
"צל""ש",160.0
"מע""מ",68.0
"ורס""ן",11.0
"ב""מאזנים",14.0
"מק""י",112.0
"אתב""ש",7.0
"תר""ך",7.0
"כ""מדינה",13.0
"בשב""ס",8.0
"באמ""ן",52.0
"מג""ן",13.0
"ל""ארץ",18.0
"התנ""כית",32.0
"מג""ד",33.0
"התנ""כיים",11.0
"ב""ר",39.0
"ש""ג",8.0
"תקס""ו",8.0
"התשנ""ד",12.0
"כ""צבא",14.0
"סא""ל",274.0
"ש""אין",43.0
"ואש""ף",23.0
"ל""זכות",6.0
"ל""י",43.0
"הנגמ""ש",42.0
"כחי""ר",6.0
"ל""אדם",6.0
"חרל""פ",114.0
"ל""איחוד",10.0
"מהר""ץ",15.0
"לצה""ל",614.0
"המג""ד",48.0
"למזכ""ל",49.0
"ב""ויקיפדיה",6.0
"ליש""ט",249.0
"מהאצ""ל",13.0
"ב""הגנה",40.0
"מ""ישראל",6.0
"והלח""י",93.0
"הצ""ח",12.0
"רס""ן",146.0
"והצה""ר",6.0
"בית""רי",9.0
"גדנ""עים",9.0
"הצה""ר",80.0
"ובית""ר",37.0
"והפלמ""ח",22.0
"נ""א",37.0
"ב""שבת",8.0
"בית""רים",22.0
"בכ""ט",59.0
"ה""סוס",8.0
"בלח""י",13.0
"הל""ה",139.0
"ה""רן",6.0
"ה""לי",6.0
"פלמ""ח",123.0
"שהאצ""ל",12.0
"בתש""ח",42.0
"גדנ""ע",76.0
"ומפא""י",6.0
"ומק""י",24.0
"ב""מוזיאון",7.0
"בדר""כ",25.0
"ב""שינויים",7.0
"לסמ""ק",34.0
"ד""ש",78.0
"התשנ""ו",9.0
"הבג""צים",7.0
"ב""מוצא",14.0
"תשכ""ו",77.0
"ב""הבימה",20.0
"ו""ערב",7.0
"מ""ל",83.0
"תרס""ו",35.0
"ו""מי",7.0
"כ""פרשת",6.0
"אחה""צ",17.0
"ב""עושר",7.0
"ב""מועצת",10.0
"הנוע""ל",10.0
"ב""חדר",34.0
"התשכ""ח",8.0
"מח""ל",60.0
"תש""מ",44.0
"ה""מכבי",10.0
"כ""ט",131.0
"ו""ריקוד",9.0
"דוב""ב",7.0
"הר""ש",9.0
"בנח""ל",47.0
"הליש""ט",8.0
"המכ""מים",18.0
"כ""ס",94.0
"ח""נ",29.0
"הבג""ץ",6.0
"מל""טים",46.0
"מנכ""ל",526.0
"ב""היום",7.0
"מכ""מים",36.0
"סט""י",11.0
"האב""כ",23.0
"התנכ""י",22.0
"ל""שיר",12.0
"למנכ""ל",117.0
"לל""ג",10.0
"ו""סיפור",6.0
"ה""שפת",9.0
"ה""לב",6.0
"עב""מים",26.0
"ש""יש",12.0
"כ""בן",7.0
"רש""ר",29.0
"בי""ג",37.0
"רש""י",771.0
"זק""א",64.0
"שח""ר",13.0
"לימ""מ",16.0
"ו""רוח",6.0
"ו""אל",26.0
"חרד""לים",7.0
"וש""ס",8.0
"ו""נר",6.0
"תשנ""א",134.0
"השח""ם",14.0
"ורש""י",23.0
"המלבי""ם",46.0
"הרמב""ם",1359.0
"הרד""ק",46.0
"שהרמב""ם",22.0
"ל""א",65.0
"מהר""ל",30.0
"לגר""א",8.0
"ברמב""ם",31.0
"בחב""ד",27.0
"מכ""מ",8.0
"מל""א",8.0
"יול""ב",18.0
"חב""ד",1062.0
"הרמב""ן",329.0
"פלס""רי",6.0
"חל""כ",8.0
"של""ת",7.0
"הר""מ",6.0
"תשס""ח",231.0
"מד""א",78.0
"נ""צ",10.0
"ר""מים",10.0
"אכ""א",36.0
"בשל""ת",6.0
"אמ""ת",44.0
"תומ""ת",22.0
"הכטב""ם",6.0
"אירס""ו",6.0
"ה""קשת",6.0
"התומ""ת",14.0
"ל""טרור",6.0
"מש""ק",8.0
"מ""ט",25.0
"תהיל""ה",7.0
"תל""ג",14.0
"בע""מ",410.0
"האמל""ח",32.0
"תומ""תים",16.0
"טק""ק",16.0
"התומ""תים",8.0
"ב""ציר",12.0
"מח""י",14.0
"רש""ק",31.0
"ח""א",18.0
"ל""ערוץ",10.0
"ומנכ""ל",98.0
"הפלחי""ק",7.0
"הפלחה""ן",12.0
"שאש""ף",6.0
"שרמב""ן",10.0
"ב""רדיו",6.0
"שו""ב",16.0
"ל""יחידה",9.0
"מסת""ב",10.0
"ביל""ו",82.0
"בט""ש",51.0
"של""ג",18.0
"קד""ם",6.0
"בבא""ח",9.0
"לק""ג",22.0
"עמ""י",13.0
"פלחה""ן",28.0
"תנכ""י",6.0
"פלנ""ט",12.0
"בא""ח",16.0
"בנגמ""שי",11.0
"בנגמ""ש",11.0
"לנח""ל",13.0
"מהנח""ל",11.0
"יהל""ם",54.0
"הצל""שים",7.0
"רמטכ""לים",15.0
"הצה""לי",48.0
"לט""ו",30.0
"ו""ראש",10.0
"מהר""ם",50.0
"המל""ט",12.0
"המכ""ם",209.0
"הרע""ב",7.0
"א""י",144.0
"למתנ""סים",23.0
"תרצ""ב",54.0
"ב""קשת",16.0
"מלמ""ש",19.0
"קוט""ש",8.0
"ממ""ק",33.0
"הדו""חות",42.0
"ו""האם",6.0
"ה""נכונה",6.0
"תר""ס",21.0
"כרמטכ""ל",65.0
"ה""בריחה",8.0
"רמטכ""ל",103.0
"שהרמטכ""ל",14.0
"הרז""ה",8.0
"בדו""ח",256.0
"היעב""ץ",6.0
"והמנכ""ל",16.0
"החדו""א",10.0
"והמכ""ם",6.0
"הכטב""מים",30.0
"בכטב""מים",11.0
"הרבצ""ר",7.0
