,acronym,wiki_counts,inss_counts,fauda_counts,teheran_counts,total_counts
105,"החפ""ק",7.0,0.0,0.0,0.0,7.0
106,"הצה""לית",27.0,5.0,0.0,0.0,32.0
107,"ב""אקול",10.0,0.0,0.0,0.0,10.0
108,"קכ""ו",7.0,0.0,0.0,0.0,7.0
109,"בי""ס",55.0,0.0,0.0,0.0,55.0
110,"בי""ז",34.0,0.0,0.0,0.0,34.0
111,"ב""גן",11.0,0.0,0.0,0.0,11.0
112,"חט""ב",8.0,0.0,0.0,0.0,8.0
113,"ול""ג",8.0,0.0,0.0,0.0,8.0
114,"ב""מדריך",11.0,0.0,0.0,0.0,11.0
115,"ב""פלסטין",2.0,4.0,0.0,0.0,6.0
116,"הש""צ",10.0,0.0,0.0,0.0,10.0
117,"ה""אתה",9.0,0.0,0.0,0.0,9.0
118,"לאר""י",6.0,0.0,0.0,0.0,6.0
119,"רנ""ג",12.0,0.0,0.0,0.0,12.0
120,"תרפ""א",121.0,0.0,0.0,0.0,121.0
121,"הי""ז",7.0,0.0,0.0,0.0,7.0
122,"מל""ל",36.0,2.0,0.0,0.0,38.0
123,"בכ""ז",25.0,0.0,0.0,0.0,25.0
124,"תושב""ע",8.0,0.0,0.0,0.0,8.0
125,"תר""פ",74.0,0.0,0.0,0.0,74.0
126,"ב""הר",8.0,0.0,0.0,0.0,8.0
127,"רד""צ",55.0,0.0,0.0,0.0,55.0
128,"שי""ח",8.0,0.0,0.0,0.0,8.0
129,"ש""אינו",5.0,1.0,0.0,0.0,6.0
130,"בפיפ""א",10.0,1.0,0.0,0.0,11.0
131,"ה""גרנד",6.0,0.0,0.0,0.0,6.0
132,"ו""כל",15.0,0.0,0.0,0.0,15.0
133,"התשס""ה",17.0,0.0,0.0,0.0,17.0
134,"כא""מ",11.0,0.0,0.0,0.0,11.0
135,"תנ""כיים",33.0,0.0,0.0,0.0,33.0
136,"ולח""י",59.0,0.0,0.0,0.0,59.0
137,"לאצ""ל",42.0,0.0,0.0,0.0,42.0
138,"כ""בעל",6.0,0.0,0.0,0.0,6.0
139,"לח""י",208.0,0.0,0.0,0.0,208.0
140,"ש""זה",8.0,0.0,0.0,0.0,8.0
141,"בחז""ל",65.0,0.0,0.0,0.0,65.0
142,"כ""נשיא",7.0,1.0,0.0,0.0,8.0
143,"בכ""א",32.0,0.0,0.0,0.0,32.0
144,"תכ""ו",8.0,0.0,0.0,0.0,8.0
145,"ה""חופש",6.0,0.0,0.0,0.0,6.0
146,"ב""אולד",6.0,0.0,0.0,0.0,6.0
147,"תל""ז",7.0,0.0,0.0,0.0,7.0
148,"ר""י",38.0,0.0,0.0,0.0,38.0
149,"האי""ל",38.0,0.0,0.0,0.0,38.0
150,"האצ""י",14.0,0.0,0.0,0.0,14.0
151,"לרשב""א",7.0,0.0,0.0,0.0,7.0
152,"החיד""א",61.0,0.0,0.0,0.0,61.0
153,"ל""ממשלת",1.0,5.0,0.0,0.0,6.0
154,"מ""א",37.0,0.0,0.0,0.0,37.0
155,"הי""ט",17.0,0.0,0.0,0.0,17.0
156,"כ""אדם",16.0,1.0,0.0,0.0,17.0
157,"יוניצ""ף",21.0,1.0,0.0,0.0,22.0
158,"ב""תוכנית",10.0,3.0,0.0,0.0,13.0
159,"לפלמ""ח",58.0,0.0,0.0,0.0,58.0
160,"מפא""י",781.0,1.0,0.0,0.0,782.0
161,"פ""ב",7.0,0.0,0.0,0.0,7.0
162,"מפ""ם",409.0,0.0,0.0,0.0,409.0
163,"יח""ל",41.0,0.0,0.0,0.0,41.0
164,"ימ""ר",8.0,1.0,0.0,0.0,9.0
165,"ב""גלריה",6.0,0.0,0.0,0.0,6.0
166,"ה""רדי",7.0,0.0,0.0,0.0,7.0
167,"תרל""ה",14.0,0.0,0.0,0.0,14.0
168,"פ""מ",7.0,0.0,0.0,0.0,7.0
169,"תר""ן",27.0,0.0,0.0,0.0,27.0
170,"ריב""ג",6.0,0.0,0.0,0.0,6.0
171,"תרס""ז",27.0,0.0,0.0,0.0,27.0
172,"באק""ג",8.0,0.0,0.0,0.0,8.0
173,"ב""ישראל",6.0,0.0,0.0,0.0,6.0
174,"תר""ע",41.0,0.0,0.0,0.0,41.0
175,"ש""אני",5.0,1.0,0.0,0.0,6.0
176,"ה""חזון",15.0,0.0,0.0,0.0,15.0
177,"מל""ח",1.0,12.0,0.0,0.0,13.0
178,"ב""היכל",13.0,0.0,0.0,0.0,13.0
179,"האג""ח",23.0,1.0,0.0,0.0,24.0
180,"מנאט""ו",4.0,3.0,0.0,0.0,7.0
181,"אג""ח",59.0,1.0,0.0,0.0,60.0
182,"מש""א",12.0,0.0,0.0,0.0,12.0
183,"המח""מ",8.0,0.0,0.0,0.0,8.0
184,"יעב""ץ",7.0,0.0,0.0,0.0,7.0
185,"באג""ח",6.0,0.0,0.0,0.0,6.0
186,"רס""ב",9.0,0.0,0.0,0.0,9.0
187,"ה""רגיל",7.0,0.0,0.0,0.0,7.0
188,"מק""מ",10.0,0.0,0.0,0.0,10.0
189,"לרמ""א",6.0,2.0,0.0,0.0,8.0
190,"ו""בלדה",7.0,0.0,0.0,0.0,7.0
191,"הקק""ל",59.0,0.0,0.0,0.0,59.0
192,"סמנכ""לית",5.0,2.0,0.0,0.0,7.0
