base_acronym,acronym,wiki_counts,inss_counts,fauda_counts,teheran_counts,total_counts,n_united
"ו""ז","['ו""ז']",5.0,0.0,0.0,0.0,5.0,1
"ו""צ","['ו""צ']",7.0,0.0,0.0,0.0,7.0,1
"וב""מעריב","['וב""מעריב']",4.0,0.0,0.0,0.0,4.0,1
"וה""אני","['וה""אני']",4.0,0.0,0.0,0.0,4.0,1
"ווי""ו","['הווי""ו']",4.0,0.0,0.0,0.0,4.0,1
"וי""ו","['וי""ו']",18.0,0.0,0.0,0.0,18.0,1
"ומכ""מים","['ומכ""מים']",4.0,0.0,0.0,0.0,4.0,1
"ומל""טים","['ומל""טים']",2.0,7.0,0.0,0.0,9.0,1
"ות""ת","['ות""ת']",7.0,0.0,0.0,0.0,7.0,1
"ז""א","['ז""א']",19.0,0.0,0.0,0.0,19.0,1
"ז""י","['מז""י', 'ז""י']",19.0,0.0,0.0,0.0,19.0,2
"ז""ל","['ז""ל']",114.0,6.0,0.0,0.0,120.0,1
"ז""ק","['ז""ק']",11.0,0.0,0.0,0.0,11.0,1
"זב""מ","['זב""מ']",28.0,0.0,0.0,0.0,28.0,1
"זה""ב","['זה""ב']",4.0,0.0,0.0,0.0,4.0,1
"זחל""ם","['זחל""ם', 'וזחל""ם', 'בזחל""ם']",18.0,0.0,0.0,0.0,18.0,3
"זחל""מים","['זחל""מים', 'הזחל""מים', 'וזחל""מים']",47.0,0.0,0.0,0.0,47.0,3
"זי""ן","['זי""ן']",11.0,0.0,0.0,0.0,11.0,1
"זי""ע","['זי""ע']",5.0,0.0,0.0,0.0,5.0,1
"זמ""ח","['זמ""ח']",4.0,0.0,0.0,0.0,4.0,1
"זנ""ט","['בזנ""ט']",4.0,0.0,0.0,0.0,4.0,1
"זצ""ל","['זצ""ל']",108.0,0.0,0.0,0.0,108.0,1
"זצוק""ל","['זצוק""ל']",12.0,0.0,0.0,0.0,12.0,1
"זק""א","['זק""א', 'בזק""א']",68.0,0.0,0.0,0.0,68.0,2
"זק""ש","['זק""ש']",49.0,0.0,0.0,0.0,49.0,1
"ח""א","['בח""א', 'ח""א']",24.0,0.0,0.0,0.0,24.0,2
"ח""ב","['ח""ב']",13.0,0.0,0.0,0.0,13.0,1
"ח""ד","['בח""ד']",4.0,0.0,0.0,0.0,4.0,1
"ח""ו","['ח""ו']",6.0,0.0,0.0,0.0,6.0,1
"ח""י","['ולח""י', 'ח""י', 'מח""י']",90.0,12.0,0.0,0.0,102.0,3
"ח""כ","['כח""כ', 'וח""כ', 'לח""כ', 'הח""כ', 'ח""כ']",231.0,10.0,0.0,0.0,241.0,5
"ח""כים","['וח""כים', 'הח""כים']",27.0,0.0,0.0,0.0,27.0,2
"ח""ל","['מח""ל']",60.0,0.0,0.0,0.0,60.0,1
"ח""ן","['ח""ן']",39.0,0.0,0.0,0.0,39.0,1
"ח""נ","['ח""נ']",29.0,0.0,0.0,0.0,29.0,1
"ח""ץ","['ח""ץ']",6.0,0.0,0.0,0.0,6.0,1
"ח""ש","['ח""ש']",15.0,0.0,0.0,0.0,15.0,1
"חב""ד","['החב""דית', 'מחב""ד', 'לחב""ד', 'חב""ד', 'בחב""ד', 'וחב""ד']",1126.0,1.0,0.0,0.0,1127.0,6
"חב""די","['חב""די']",7.0,0.0,0.0,0.0,7.0,1
"חב""דית","['חב""דית']",6.0,0.0,0.0,0.0,6.0,1
"חבל""ז","['חבל""ז']",4.0,0.0,0.0,0.0,4.0,1
"חג""י","['חג""י']",4.0,0.0,0.0,0.0,4.0,1
"חד""ש","['וחד""ש', 'בחד""ש', 'חד""ש', 'לחד""ש', 'מחד""ש']",144.0,28.0,0.0,0.0,172.0,5
"חדו""א","['חדו""א', 'החדו""א']",14.0,0.0,0.0,0.0,14.0,2
"חה""כ","['חה""כ']",5.0,9.0,0.0,0.0,14.0,1
"חה""ן","['חה""ן']",40.0,0.0,0.0,0.0,40.0,1
"חו""ל","['מחו""ל', 'בחו""ל', 'לחו""ל', 'חו""ל', 'ומחו""ל', 'ובחו""ל']",575.0,118.0,4.0,1.0,698.0,6
"חו""מ","['חו""מ']",6.0,0.0,0.0,0.0,6.0,1
"חוה""מ","['חוה""מ']",4.0,0.0,0.0,0.0,4.0,1
"חווי""ה","['חווי""ה']",5.0,0.0,0.0,0.0,5.0,1
"חז""ל","['וחז""ל', 'ובחז""ל', 'שחז""ל', 'מחז""ל', 'לחז""ל', 'חז""ל', 'בחז""ל']",1726.0,0.0,0.0,0.0,1726.0,7
"חז""לי","['חז""לי', 'החז""לי']",11.0,0.0,0.0,0.0,11.0,2
"חז""לית","['החז""לית', 'חז""לית']",19.0,0.0,0.0,0.0,19.0,2
"חזו""א","['החזו""א']",5.0,0.0,0.0,0.0,5.0,1
"חח""ע","['חח""ע']",28.0,0.0,0.0,0.0,28.0,1
"חט""ב","['מחט""ב', 'חט""ב']",14.0,0.0,0.0,0.0,14.0,2
"חט""ל","['חט""ל']",5.0,0.0,0.0,0.0,5.0,1
"חטמ""ר","['חטמ""ר']",7.0,0.0,0.0,0.0,7.0,1
"חי""ל","['החי""ל']",14.0,0.0,0.0,0.0,14.0,1
"חי""ם","['החי""ם', 'חי""ם']",12.0,0.0,0.0,0.0,12.0,2
"חי""ר","['לחי""ר', 'והחי""ר', 'כחי""ר', 'חי""ר', 'וחי""ר', 'בחי""ר', 'החי""ר']",903.0,10.0,2.0,0.0,915.0,7
"חי""ש","['בחי""ש', 'לחי""ש', 'חי""ש', 'החי""ש']",56.0,0.0,0.0,0.0,56.0,4
"חי""ת","['חי""ת']",9.0,0.0,0.0,0.0,9.0,1
"חיד""א","['חיד""א', 'החיד""א']",71.0,0.0,0.0,0.0,71.0,2
"חל""ך","['חל""ך']",7.0,0.0,0.0,0.0,7.0,1
"חל""כ","['חל""כ', 'בחל""כ']",1.0,22.0,0.0,0.0,23.0,2
"חל""מ","['חל""מ']",4.0,0.0,0.0,0.0,4.0,1
"חל""צ","['חל""צ']",6.0,0.0,0.0,0.0,6.0,1
"חל""ת","['לחל""ת', 'בחל""ת', 'החל""ת', 'חל""ת']",6.0,21.0,1.0,0.0,28.0,4
"חמ""ד","['החמ""ד', 'חמ""ד']",25.0,0.0,0.0,0.0,25.0,2
"חמ""ל","['בחמ""ל', 'חמ""ל']",16.0,5.0,0.0,0.0,21.0,2
"חמ""ץ","['חמ""ץ']",6.0,0.0,0.0,0.0,6.0,1
"חמא""ס","['חמא""ס']",0.0,4.0,0.0,0.0,4.0,1
"חמו""ל","['חמו""ל']",48.0,0.0,0.0,0.0,48.0,1
"חמל""י","['מחמל""י']",12.0,0.0,0.0,0.0,12.0,1
"חנ""ה","['חנ""ה']",4.0,0.0,0.0,0.0,4.0,1
"חנ""מ","['חנ""מ']",4.0,1.0,0.0,0.0,5.0,1
"חס""ר","['מחס""ר']",5.0,0.0,0.0,0.0,5.0,1
"חסמב""ה","['חסמב""ה']",5.0,0.0,0.0,0.0,5.0,1
"חפ""ק","['בחפ""ק', 'חפ""ק', 'לחפ""ק', 'וחפ""ק', 'החפ""ק']",33.0,0.0,7.0,0.0,40.0,5
"חצר""מ","['חצר""מ']",5.0,0.0,0.0,0.0,5.0,1
"חרד""לי","['החרד""לי']",4.0,0.0,0.0,0.0,4.0,1
"חרד""לים","['החרד""לים', 'חרד""לים']",11.0,0.0,0.0,0.0,11.0,2
"חרל""פ","['וחרל""פ', 'חרל""פ']",110.0,14.0,0.0,0.0,124.0,2
"חרמ""ש","['חרמ""ש', 'החרמ""ש']",51.0,0.0,0.0,0.0,51.0,2
"חש""ן","['חש""ן']",11.0,0.0,0.0,0.0,11.0,1
"חת""ם","['חת""ם', 'החת""ם']",53.0,0.0,0.0,0.0,53.0,2
"חת""ס","['החת""ס']",8.0,0.0,0.0,0.0,8.0,1
"ט""ו","['בט""ו', 'ובט""ו', 'ט""ו', 'לט""ו', 'מט""ו', 'וט""ו']",452.0,0.0,0.0,0.0,452.0,6
"ט""ז","['הט""ז', 'בט""ז', 'ט""ז', 'והט""ז', 'מט""ז']",196.0,0.0,0.0,0.0,196.0,5
"ט""ש","['בט""ש']",49.0,2.0,0.0,0.0,51.0,1
"טב""מ","['כטב""מ']",1.0,16.0,0.0,0.0,17.0,1
"טב""מים","['וכטב""מים']",2.0,7.0,0.0,0.0,9.0,1
"טח""י","['הטח""י']",4.0,0.0,0.0,0.0,4.0,1
"טי""ת","['טי""ת']",11.0,0.0,0.0,0.0,11.0,1
"טנ""א","['הטנ""א']",7.0,0.0,0.0,0.0,7.0,1
"טק""א","['טק""א']",7.0,1.0,0.0,0.0,8.0,1
"טק""ק","['הטק""ק', 'טק""ק', 'וטק""ק']",8.0,18.0,0.0,0.0,26.0,3
"טר""ש","['טר""ש']",4.0,0.0,0.0,0.0,4.0,1
"י""א","['הי""א', 'בי""א', 'י""א', 'לי""א']",312.0,1.0,0.0,0.0,313.0,4
"י""ב","['י""ב', 'בי""ב', 'וי""ב', 'הי""ב']",334.0,4.0,0.0,0.0,338.0,4
"י""ג","['הי""ג', 'לי""ג', 'י""ג', 'בי""ג']",287.0,1.0,0.0,0.0,288.0,4
"י""ד","['י""ד', 'בי""ד', 'לי""ד']",240.0,0.0,0.0,0.0,240.0,3
"י""ז","['בי""ז', 'י""ז']",191.0,0.0,0.0,0.0,191.0,2
"י""ח","['י""ח', 'הי""ח']",196.0,0.0,0.0,0.0,196.0,2
"י""ט","['הי""ט', 'בי""ט', 'י""ט']",185.0,0.0,0.0,0.0,185.0,3
"י""ל","['י""ל']",216.0,0.0,0.0,0.0,216.0,1
"י""מ","['י""מ']",7.0,0.0,0.0,0.0,7.0,1
"י""נ","['י""נ']",4.0,0.0,0.0,0.0,4.0,1
"י""פ","['י""פ']",23.0,0.0,0.0,0.0,23.0,1
"יאח""ה","['יאח""ה']",5.0,0.0,0.0,0.0,5.0,1
"יהל""ם","['ביהל""ם', 'ליהל""ם', 'יהל""ם']",69.0,0.0,0.0,0.0,69.0,3
"יו""ד","['יו""ד', 'כיו""ד', 'היו""ד', 'ביו""ד']",116.0,0.0,0.0,0.0,116.0,4
"יו""דים","['יו""דים']",12.0,0.0,0.0,0.0,12.0,1
"יו""ט","['יו""ט']",14.0,0.0,0.0,0.0,14.0,1
"יו""ל","['יו""ל']",7.0,0.0,0.0,0.0,7.0,1
"יו""ר","['ליו""ר', 'מיו""ר', 'שיו""ר', 'ויו""ר', 'וכיו""ר', 'והיו""ר', 'היו""ר', 'וליו""ר', 'יו""ר', 'כיו""ר']",1790.0,120.0,0.0,0.0,1910.0,10
"יו""ש","['יו""ש', 'ביו""ש', 'מיו""ש']",44.0,14.0,0.0,0.0,58.0,3
"יול""ב","['יול""ב']",18.0,0.0,0.0,0.0,18.0,1
"יוניס""ף","['יוניס""ף']",4.0,0.0,0.0,0.0,4.0,1
"יוניפי""ל","['ליוניפי""ל', 'מיוניפי""ל', 'יוניפי""ל']",20.0,102.0,0.0,0.0,122.0,3
"יוניצ""ף","['יוניצ""ף', 'ליוניצ""ף']",25.0,1.0,0.0,0.0,26.0,2
"יועמ""ש","['היועמ""ש']",5.0,0.0,0.0,0.0,5.0,1
"יח""ד","['יח""ד']",15.0,0.0,0.0,0.0,15.0,1
"יח""ל","['יח""ל']",41.0,0.0,0.0,0.0,41.0,1
"יחב""ל","['יחב""ל']",5.0,0.0,0.0,0.0,5.0,1
"יחצ""א","['היחצ""א']",7.0,0.0,0.0,0.0,7.0,1
"יחצ""ן","['יחצ""ן', 'היחצ""ן']",8.0,0.0,0.0,0.0,8.0,2
"יחצ""נים","['יחצ""נים']",4.0,0.0,0.0,0.0,4.0,1
"יי""ש","['יי""ש']",4.0,0.0,0.0,0.0,4.0,1
"ייוו""א","['ייוו""א']",5.0,0.0,0.0,0.0,5.0,1
"ייט""ב","['ייט""ב']",8.0,0.0,0.0,0.0,8.0,1
"יל""ג","['יל""ג', 'ליל""ג']",66.0,0.0,0.0,0.0,66.0,2
"ימ""מ","['ימ""מ', 'לימ""מ', 'והימ""מ', 'בימ""מ', 'הימ""מ']",315.0,4.0,5.0,0.0,324.0,5
"ימ""ס","['ימ""ס', 'וימ""ס', 'והימ""ס', 'הימ""ס']",32.0,2.0,0.0,0.0,34.0,4
"ימ""ר","['ימ""ר']",8.0,1.0,0.0,0.0,9.0,1
"ימ""ש","['ימ""ש']",4.0,0.0,0.0,0.0,4.0,1
"ימק""א","['ימק""א']",31.0,0.0,0.0,0.0,31.0,1
"יס""מ","['יס""מ']",11.0,3.0,0.0,0.0,14.0,1
"יסו""ד","['יסו""ד']",6.0,0.0,0.0,0.0,6.0,1
"יע""ל","['יע""ל']",11.0,0.0,0.0,0.0,11.0,1
"יעב""ץ","['יעב""ץ', 'היעב""ץ']",13.0,0.0,0.0,0.0,13.0,2
"יפת""ח","['יפת""ח']",7.0,0.0,0.0,0.0,7.0,1
"יק""א","['מיק""א', 'יק""א', 'ליק""א']",92.0,0.0,0.0,0.0,92.0,3
"יק""ל","['יק""ל']",10.0,0.0,0.0,0.0,10.0,1
"יקנה""ז","['יקנה""ז']",5.0,0.0,0.0,0.0,5.0,1
"יש""י","['יש""י']",8.0,0.0,0.0,0.0,8.0,1
"יש""ע","['ביש""ע', 'יש""ע']",156.0,0.0,0.0,0.0,156.0,2
"כ""א","['בכ""א', 'כ""א']",216.0,1.0,0.0,0.0,217.0,2
"כ""ב","['בכ""ב', 'כ""ב']",151.0,0.0,0.0,0.0,151.0,2
"כ""ג","['בכ""ג', 'כ""ג']",167.0,1.0,0.0,0.0,168.0,2
"כ""ד","['בכ""ד', 'כ""ד']",134.0,0.0,0.0,0.0,134.0,2
"כ""ה","['הכ""ה', 'כ""ה', 'בכ""ה']",161.0,0.0,0.0,0.0,161.0,3
"כ""ו","['בכ""ו', 'כ""ו']",132.0,0.0,0.0,0.0,132.0,2
"כ""ז","['בכ""ז', 'כ""ז']",134.0,0.0,0.0,0.0,134.0,2
"כ""ח","['בכ""ח', 'כ""ח']",147.0,0.0,0.0,0.0,147.0,2
"כ""ט","['לכ""ט', 'בכ""ט', 'כ""ט']",197.0,0.0,0.0,0.0,197.0,3
"כ""י","['כ""י']",6.0,0.0,0.0,0.0,6.0,1
"כ""ך","['כ""ך']",23.0,0.0,0.0,0.0,23.0,1
"כ""כ","['כ""כ']",47.0,0.0,0.0,0.0,47.0,1
"כ""ם","['ומכ""ם']",8.0,0.0,0.0,0.0,8.0,1
"כ""מ","['מכ""מ']",1.0,7.0,0.0,0.0,8.0,1
"כ""מי","['מכ""מי']",15.0,1.0,0.0,0.0,16.0,1
"כ""ס","['כ""ס']",93.0,1.0,0.0,0.0,94.0,1
"כ""ף","['כ""ף', 'בכ""ף']",20.0,0.0,0.0,0.0,20.0,2
"כ""פ","['בכ""פ']",5.0,0.0,0.0,0.0,5.0,1
"כ""ץ","['כ""ץ']",318.0,7.0,0.0,0.0,325.0,1
"כ""צ","['כ""צ']",6.0,0.0,0.0,0.0,6.0,1
"כ""ק","['כ""ק']",8.0,0.0,0.0,0.0,8.0,1
"כא""מ","['כא""מ']",11.0,0.0,0.0,0.0,11.0,1
"כב""מ","['הכב""מ']",0.0,7.0,0.0,0.0,7.0,1
"כד""ר","['כד""ר']",7.0,1.0,0.0,0.0,8.0,1
"כו""ח","['כו""ח']",4.0,0.0,0.0,0.0,4.0,1
"כטב""ם","['כטב""ם', 'הכטב""ם']",12.0,8.0,0.0,0.0,20.0,2
"כטב""מ","['הכטב""מ']",1.0,3.0,0.0,0.0,4.0,1
"כטב""מים","['כטב""מים', 'הכטב""מים', 'בכטב""מים']",12.0,110.0,1.0,0.0,123.0,3
"כטמ""ם","['כטמ""ם']",6.0,0.0,0.0,0.0,6.0,1
"כטמ""מים","['כטמ""מים']",4.0,0.0,0.0,0.0,4.0,1
"כי""ח","['כי""ח']",54.0,0.0,0.0,0.0,54.0,1
"כיו""ב","['וכיו""ב']",13.0,6.0,0.0,0.0,19.0,1
"כיוצ""ב","['וכיוצ""ב']",11.0,1.0,0.0,0.0,12.0,1
"כל""ם","['בכל""ם']",4.0,0.0,0.0,0.0,4.0,1
"כנ""ל","['כנ""ל', 'וכנ""ל']",64.0,0.0,0.0,0.0,64.0,2
"כשב""חים","['כשב""חים']",0.0,5.0,0.0,0.0,5.0,1
"כשד""ר","['כשד""ר']",6.0,0.0,0.0,0.0,6.0,1
"כת""ז","['מכת""ז']",12.0,0.0,0.0,0.0,12.0,1
"כת""זיות","['מכת""זיות']",5.0,0.0,0.0,0.0,5.0,1
"כת""י","['מכת""י', 'כת""י']",10.0,0.0,0.0,0.0,10.0,2
"ל""א","['מל""א', 'ל""א']",70.0,3.0,0.0,0.0,73.0,2
"ל""ב","['ל""ב']",31.0,0.0,0.0,0.0,31.0,1
"ל""ג","['ובל""ג', 'ול""ג', 'לל""ג', 'בל""ג', 'ל""ג']",232.0,0.0,0.0,0.0,232.0,5
"ל""ד","['ל""ד']",45.0,0.0,0.0,0.0,45.0,1
"ל""ה","['הל""ה', 'ל""ה']",162.0,0.0,0.0,0.0,162.0,2
"ל""ו","['ל""ו']",28.0,0.0,0.0,0.0,28.0,1
"ל""ז","['ל""ז']",24.0,0.0,0.0,0.0,24.0,1
"ל""ח","['ל""ח']",16.0,0.0,0.0,0.0,16.0,1
"ל""ט","['ל""ט']",41.0,3.0,0.0,0.0,44.0,1
"ל""י","['ל""י']",43.0,0.0,0.0,0.0,43.0,1
"ל""פ","['ל""פ']",0.0,4.0,0.0,0.0,4.0,1
"ל""צ","['ל""צ']",8.0,0.0,0.0,0.0,8.0,1
"לא""י","['הלא""י']",5.0,0.0,0.0,0.0,5.0,1
"לאי""ל","['לאי""ל']",4.0,0.0,0.0,0.0,4.0,1
"לד""ר","['ולד""ר']",4.0,1.0,0.0,0.0,5.0,1
"להב""ה","['להב""ה']",9.0,3.0,0.0,0.0,12.0,1
"להד""ם","['להד""ם']",4.0,0.0,0.0,0.0,4.0,1
"להט""ב","['ללהט""ב', 'הלהט""ב', 'להט""ב']",254.0,2.0,0.0,0.0,256.0,3
"להט""בי","['הלהט""בי', 'להט""בי']",10.0,1.0,0.0,0.0,11.0,2
"להט""בים","['הלהט""בים', 'ללהט""בים', 'להט""בים']",42.0,2.0,0.0,0.0,44.0,3
"להט""בית","['הלהט""בית', 'להט""בית']",28.0,1.0,0.0,0.0,29.0,2
"לו""ז","['הלו""ז', 'לו""ז']",7.0,0.0,1.0,0.0,8.0,2
"לוט""ר","['ולוט""ר', 'הלוט""ר', 'לוט""ר']",37.0,0.0,0.0,0.0,37.0,3
"לח""י","['ללח""י', 'הלח""י', 'בלח""י', 'והלח""י', 'וללח""י', 'לח""י']",490.0,0.0,0.0,0.0,490.0,6
"לי""ש","['לי""ש']",5.0,0.0,0.0,0.0,5.0,1
"ליש""ט","['ליש""ט', 'הליש""ט']",255.0,2.0,0.0,0.0,257.0,2
"למ""ד","['למ""ד']",10.0,0.0,0.0,0.0,10.0,1
"למ""כים","['למ""כים']",10.0,0.0,0.0,0.0,10.0,1
"למ""ס","['למ""ס', 'מהלמ""ס', 'הלמ""ס']",94.0,36.0,0.0,0.0,130.0,3
"לפסה""נ","['לפסה""נ']",42.0,0.0,0.0,0.0,42.0,1
"לק""ם","['הלק""ם']",19.0,0.0,0.0,0.0,19.0,1
"לקמ""ר","['לקמ""ר']",125.0,1.0,0.0,0.0,126.0,1
"מ""א","['מ""א']",37.0,0.0,0.0,0.0,37.0,1
"מ""ב","['מ""ב']",21.0,0.0,0.0,0.0,21.0,1
"מ""ג","['ממ""ג', 'מ""ג']",189.0,0.0,0.0,0.0,189.0,2
"מ""ד","['מ""ד']",23.0,0.0,0.0,0.0,23.0,1
"מ""ה","['מ""ה']",12.0,0.0,0.0,0.0,12.0,1
"מ""ו","['מ""ו']",22.0,0.0,0.0,0.0,22.0,1
"מ""ז","['מ""ז']",29.0,0.0,0.0,0.0,29.0,1
"מ""ח","['מ""ח', 'במ""ח']",41.0,1.0,0.0,0.0,42.0,2
"מ""ט","['מ""ט']",25.0,0.0,0.0,0.0,25.0,1
"מ""י","['מ""י']",7.0,57.0,0.0,0.0,64.0,1
"מ""כ","['מ""כ']",4.0,0.0,0.0,0.0,4.0,1
"מ""כים","['המ""כים']",9.0,0.0,0.0,0.0,9.0,1
"מ""ל","['מ""ל']",83.0,0.0,0.0,0.0,83.0,1
"מ""ם","['מ""ם']",16.0,0.0,0.0,0.0,16.0,1
"מ""מ","['כמ""מ', 'ממ""מ', 'המ""מ', 'מ""מ', 'ומ""מ', 'למ""מ']",1742.0,14.0,0.0,0.0,1756.0,6
"מ""מים","['המ""מים']",7.0,0.0,0.0,0.0,7.0,1
"מ""ע","['ומ""ע']",0.0,5.0,0.0,0.0,5.0,1
"מ""פ","['מ""פ', 'כמ""פ', 'המ""פ']",55.0,3.0,2.0,0.0,60.0,3
"מ""צ","['מ""צ', 'המ""צ']",37.0,0.0,0.0,0.0,37.0,2
"מ""ק","['מ""ק', 'למ""ק', 'ממ""ק']",114.0,24.0,0.0,0.0,138.0,3
"מ""ר","['למ""ר', 'מ""ר']",285.0,3.0,0.0,0.0,288.0,2
"מ""ש","['במ""ש']",6.0,0.0,0.0,0.0,6.0,1
"מא""ה","['המא""ה']",6.0,0.0,0.0,0.0,6.0,1
"מאל""ו","['מאל""ו']",15.0,0.0,0.0,0.0,15.0,1
"מאמ""ת","['המאמ""ת', 'מאמ""ת']",20.0,0.0,0.0,0.0,20.0,2
"מאע""מ","['מאע""מ']",0.0,17.0,0.0,0.0,17.0,1
"מב""ם","['מב""ם', 'המב""ם']",0.0,23.0,0.0,0.0,23.0,2
"מב""מ","['למב""מ', 'מב""מ', 'המב""מ']",1.0,52.0,0.0,0.0,53.0,3
"מב""ת","['מב""ת']",7.0,0.0,0.0,0.0,7.0,1
"מבי""ט","['המבי""ט']",15.0,0.0,0.0,0.0,15.0,1
"מג""ב","['מג""ב', 'ומג""ב', 'ממג""ב', 'במג""ב', 'למג""ב']",323.0,188.0,0.0,0.0,511.0,5
"מג""ד","['למג""ד', 'כמג""ד', 'ומג""ד', 'מג""ד', 'המג""ד', 'והמג""ד']",100.0,0.0,0.0,0.0,100.0,6
"מג""דים","['מג""דים', 'המג""דים']",9.0,2.0,0.0,0.0,11.0,2
"מג""ל","['מג""ל']",10.0,0.0,0.0,0.0,10.0,1
"מג""ן","['מג""ן']",13.0,0.0,0.0,0.0,13.0,1
"מגח""ל","['מגח""ל']",7.0,0.0,0.0,0.0,7.0,1
"מד""א","['במד""א', 'מד""א']",79.0,9.0,0.0,0.0,88.0,2
"מד""ן","['למד""ן']",4.0,0.0,0.0,0.0,4.0,1
"מד""צים","['מד""צים']",7.0,0.0,0.0,0.0,7.0,1
"מהו""ת","['מהו""ת']",15.0,0.0,0.0,0.0,15.0,1
"מהר""א","['מהר""א']",4.0,0.0,0.0,0.0,4.0,1
"מהר""י","['מהר""י']",16.0,0.0,0.0,0.0,16.0,1
"מהר""ל","['מהמהר""ל', 'למהר""ל', 'והמהר""ל', 'המהר""ל', 'מהר""ל']",262.0,0.0,0.0,0.0,262.0,5
"מהר""ם","['ומהר""ם', 'המהר""ם', 'מהר""ם']",105.0,0.0,0.0,0.0,105.0,3
"מהר""ץ","['מהר""ץ', 'המהר""ץ']",19.0,0.0,0.0,0.0,19.0,2
"מהר""ש","['המהר""ש']",13.0,0.0,0.0,0.0,13.0,1
"מהרי""ט","['המהרי""ט']",7.0,0.0,0.0,0.0,7.0,1
"מהרי""ל","['המהרי""ל', 'למהרי""ל', 'מהרי""ל']",35.0,0.0,0.0,0.0,35.0,3
"מהרי""ץ","['מהרי""ץ']",4.0,0.0,0.0,0.0,4.0,1
"מהרש""א","['המהרש""א']",18.0,0.0,0.0,0.0,18.0,1
"מהרש""ל","['המהרש""ל']",18.0,0.0,0.0,0.0,18.0,1
"מו""ד","['מו""ד']",8.0,0.0,0.0,0.0,8.0,1
"מו""ל","['המו""לים', 'מו""ל', 'ומו""ל', 'והמו""ל', 'מהמו""ל', 'המו""ל', 'למו""ל']",274.0,0.0,0.0,0.0,274.0,7
"מו""לים","['מו""לים']",17.0,0.0,0.0,0.0,17.0,1
"מו""לית","['המו""לית']",4.0,0.0,0.0,0.0,4.0,1
"מו""מ","['מו""מ', 'המו""מ', 'במו""מ']",3.0,28.0,2.0,0.0,33.0,3
"מו""ס","['מו""ס']",4.0,0.0,0.0,0.0,4.0,1
"מו""פ","['מו""פ', 'המו""פ', 'במו""פ']",27.0,10.0,0.0,0.0,37.0,3
"מו""ר","['מו""ר']",8.0,0.0,0.0,0.0,8.0,1
"מוהר""ן","['מוהר""ן']",53.0,0.0,0.0,0.0,53.0,1
"מוכ""ז","['למוכ""ז']",5.0,0.0,0.0,0.0,5.0,1
"מועבי""ט","['מועבי""ט']",0.0,4.0,0.0,0.0,4.0,1
"מופ""ת","['מופ""ת']",26.0,0.0,0.0,0.0,26.0,1
"מוצ""ש","['מוצ""ש', 'למוצ""ש', 'במוצ""ש']",12.0,1.0,0.0,0.0,13.0,3
"מז""פ","['מז""פ']",8.0,1.0,1.0,0.0,10.0,1
"מזא""ה","['מזא""ה']",32.0,0.0,0.0,0.0,32.0,1
"מזה""ת","['במזה""ת']",1.0,4.0,0.0,0.0,5.0,1
"מזי""א","['מזי""א']",25.0,0.0,0.0,0.0,25.0,1
"מזכ""ל","['ומזכ""ל', 'והמזכ""ל', 'המזכ""ל', 'למזכ""ל', 'מזכ""ל', 'כמזכ""ל']",361.0,86.0,0.0,0.0,447.0,6
"מזכ""לי","['מזכ""לי']",8.0,0.0,0.0,0.0,8.0,1
"מזל""ט","['מזל""ט']",12.0,0.0,4.0,0.0,16.0,1
"מזל""טים","['מזל""טים']",14.0,0.0,0.0,0.0,14.0,1
"מזקו""ם","['המזקו""ם', 'במזקו""ם', 'מזקו""ם']",57.0,0.0,0.0,0.0,57.0,3
"מח""ט","['מח""ט', 'למח""ט', 'המח""ט', 'כמח""ט']",107.0,1.0,1.0,0.0,109.0,4
"מח""ל","['המח""ל']",14.0,0.0,0.0,0.0,14.0,1
"מח""מ","['המח""מ']",8.0,0.0,0.0,0.0,8.0,1
"מח""ץ","['המח""ץ']",10.0,0.0,0.0,0.0,10.0,1
"מח""צ","['המח""צ']",4.0,0.0,0.0,0.0,4.0,1
"מח""ש","['מח""ש', 'למח""ש']",17.0,0.0,0.0,0.0,17.0,2
"מחט""ב","['למחט""ב', 'במחט""ב']",9.0,0.0,0.0,0.0,9.0,2
"מחס""ר","['המחס""ר']",7.0,0.0,0.0,0.0,7.0,1
"מט""ח","['מט""ח', 'ומט""ח', 'במט""ח', 'למט""ח', 'המט""ח']",363.0,23.0,0.0,0.0,386.0,5
"מטכ""ל","['והמטכ""ל', 'למטכ""ל', 'מהמטכ""ל', 'מטכ""ל', 'המטכ""ל', 'במטכ""ל']",485.0,16.0,2.0,0.0,503.0,6
"מטכ""לי","['מטכ""לי', 'המטכ""לי']",11.0,3.0,0.0,0.0,14.0,2
"מטכ""לית","['המטכ""לית', 'מטכ""לית']",17.0,2.0,0.0,0.0,19.0,2
"מטל""ר","['מטל""ר']",4.0,0.0,0.0,0.0,4.0,1
"מטל""רים","['מטל""רים']",4.0,0.0,0.0,0.0,4.0,1
"מטע""ד","['מטע""ד']",4.0,0.0,0.0,0.0,4.0,1
"מיכ""ל","['מיכ""ל']",9.0,0.0,0.0,0.0,9.0,1
"מיצ""ב","['המיצ""ב']",4.0,0.0,0.0,0.0,4.0,1
"מכ""ם","['מכ""ם', 'המכ""ם', 'מהמכ""ם', 'והמכ""ם', 'למכ""ם', 'שהמכ""ם', 'במכ""ם', 'ממכ""ם']",634.0,15.0,0.0,9.0,658.0,8
