base_acronym,acronym,wiki_counts,inss_counts,fauda_counts,teheran_counts,total_counts,n_united
"איל""ן","['איל""ן']",4.0,0.0,0.0,0.0,4.0,1
"איפא""ק","['איפא""ק']",7.0,3.0,0.0,0.0,10.0,1
"אירס""ו","['אירס""ו']",6.0,0.0,0.0,0.0,6.0,1
"אית""ן","['אית""ן']",19.0,0.0,0.0,0.0,19.0,1
"אכ""א","['אכ""א']",33.0,3.0,0.0,0.0,36.0,1
"אל""ה","['אל""ה']",6.0,0.0,0.0,0.0,6.0,1
"אל""י","['אל""י']",4.0,0.0,0.0,0.0,4.0,1
"אל""ם","['לאל""ם', 'אל""ם', 'ואל""ם']",269.0,10.0,0.0,0.0,279.0,3
"אל""מ","['אל""מ']",0.0,12.0,0.0,0.0,12.0,1
"אל""ף","['האל""ף', 'אל""ף', 'באל""ף']",60.0,0.0,3.0,0.0,63.0,3
"אלו""ט","['אלו""ט']",6.0,0.0,0.0,0.0,6.0,1
"אלי""ש","['באלי""ש']",4.0,0.0,0.0,0.0,4.0,1
"אלע""ד","['אלע""ד']",5.0,0.0,0.0,0.0,5.0,1
"אלפ""א","['אלפ""א']",4.0,0.0,0.0,0.0,4.0,1
"אם""ם","['אם""ם']",5.0,0.0,0.0,0.0,5.0,1
"אמ""י","['אמ""י']",36.0,0.0,0.0,0.0,36.0,1
"אמ""ן","['לאמ""ן', 'אמ""ן', 'באמ""ן']",272.0,61.0,1.0,1.0,335.0,3
"אמ""ץ","['אמ""ץ']",5.0,0.0,0.0,0.0,5.0,1
"אמ""ת","['אמ""ת']",44.0,0.0,0.0,0.0,44.0,1
"אמב""ש","['אמב""ש']",4.0,0.0,0.0,0.0,4.0,1
"אמי""ת","['אמי""ת']",33.0,0.0,0.0,0.0,33.0,1
"אמל""ח","['באמל""ח', 'ואמל""ח', 'אמל""ח', 'האמל""ח']",54.0,113.0,0.0,0.0,167.0,4
"אמר""ל","['אמר""ל']",9.0,0.0,0.0,0.0,9.0,1
"אנ""א","['אנ""א']",5.0,0.0,0.0,0.0,5.0,1
"אנדו""ף","['אנדו""ף']",0.0,18.0,0.0,0.0,18.0,1
"אנז""ק","['אנז""ק']",5.0,0.0,0.0,0.0,5.0,1
"אנזא""ק","['אנזא""ק']",105.0,0.0,0.0,0.0,105.0,1
"אס""א","['אס""א']",17.0,0.0,0.0,0.0,17.0,1
"אס""ד","['אס""ד', 'האס""ד']",12.0,0.0,0.0,0.0,12.0,2
"אפ""י","['אפ""י']",3.0,1.0,0.0,0.0,4.0,1
"אפ""ק","['אפ""ק']",30.0,0.0,0.0,0.0,30.0,1
"אצ""ג","['אצ""ג']",26.0,0.0,0.0,0.0,26.0,1
"אצ""י","['אצ""י', 'האצ""י']",33.0,0.0,0.0,0.0,33.0,2
"אצ""ל","['באצ""ל', 'האצ""ל', 'אצ""ל', 'והאצ""ל', 'ואצ""ל', 'שהאצ""ל', 'מהאצ""ל', 'לאצ""ל']",1197.0,0.0,0.0,0.0,1197.0,8
"אק""ג","['אק""ג', 'באק""ג', 'האק""ג']",27.0,0.0,0.0,0.0,27.0,3
